county,precinct,office,district,party,office,early_voting,election_day,votes
Erath,Precinct 19,Railroad Commissioner,unexpired,REP,Barry Smitherman,327,113,440
Erath,Precinct 19,Railroad Commissioner,unexpired,LIB,Jaime O. Perez,19,14,33
Erath,Precinct 19,Railroad Commissioner,unexpired,GRN,Josh Wendel,15,7,22
Erath,Precinct 19,Railroad Commissioner,unexpired,,Over Votes,0,0,0
Erath,Precinct 19,Railroad Commissioner,unexpired,,Under Votes,31,11,42
Erath,Precinct 19,State Senate,30,REP,Craig Estes,333,116,449
Erath,Precinct 19,State Senate,30,LIB,"Richard Wells Forsythe, Jr.",26,16,42
Erath,Precinct 19,State Senate,30,,Over Votes,0,0,0
Erath,Precinct 19,State Senate,30,,Under Votes,33,13,46
Erath,Precinct 19,State House,59,REP,J.D. Sheffield,332,117,449
Erath,Precinct 19,State House,59,DEM,Bill Norris,50,22,72
Erath,Precinct 19,State House,59,,Over Votes,0,0,0
Erath,Precinct 19,State House,59,,Under Votes,10,6,16
Erath,Precinct 19 STP,Ballots Cast,,,,,,196
Erath,Precinct 19 STP,Straight Party,,REP,Republican Party,60,34,94
Erath,Precinct 19 STP,Straight Party,,DEM,Democratic Party,10,4,14
Erath,Precinct 19 STP,Straight Party,,LIB,Libertarian Party,0,0,0
Erath,Precinct 19 STP,Straight Party,,GRN,Green Party,0,0,0
Erath,Precinct 19 STP,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 19 STP,Straight Party,,,Under Votes,61,27,88
Erath,Precinct 19 STP,President,,REP,Mitt Romney \ Paul Ryan,104,55,159
Erath,Precinct 19 STP,President,,DEM,Barack Obama \ Joe Biden,24,7,31
Erath,Precinct 19 STP,President,,LIB,Gary Johnson \ Jim Gray,1,1,2
Erath,Precinct 19 STP,President,,GRN,Jill Stein \ Cheri Honkala,0,1,1
Erath,Precinct 19 STP,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 19 STP,President,,,Over Votes,0,0,0
Erath,Precinct 19 STP,President,,,Under Votes,2,1,3
Erath,Precinct 19 STP,US Senate,,REP,Ted Cruz,105,54,159
Erath,Precinct 19 STP,US Senate,,DEM,Paul Sadler,21,10,31
Erath,Precinct 19 STP,US Senate,,LIB,John Jay Myers,4,0,4
Erath,Precinct 19 STP,US Senate,,GRN,David B. Collins,0,0,0
Erath,Precinct 19 STP,US Senate,,,Over Votes,0,0,0
Erath,Precinct 19 STP,US Senate,,,Under Votes,1,1,2
Erath,Precinct 19 STP,US House,25,REP,Roger Williams,100,54,154
Erath,Precinct 19 STP,US House,25,DEM,Elaine M. Henderson,23,10,33
Erath,Precinct 19 STP,US House,25,LIB,Betsy Dewey,3,0,3
Erath,Precinct 19 STP,US House,25,,Over Votes,0,0,0
Erath,Precinct 19 STP,US House,25,,Under Votes,5,1,6
Erath,Precinct 19 STP,Railroad Commissioner,,REP,Christi Craddick,103,53,156
Erath,Precinct 19 STP,Railroad Commissioner,,DEM,Dale Henry,20,9,29
