candidate,office,district,party,county,precinct,mail,early_voting,election_day,votes
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,403 - 0,0,1,0,1
Jodey C Arrington,U.S. House,19,REP,Taylor,403 - 0,68,787,112,967
Tom Watson,U.S. House,19,DEM,Taylor,403 - 0,96,351,46,493
Joe Bumes,U.S. House,19,LIB,Taylor,403 - 0,3,44,11,58
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,403 - 0,72,761,96,929
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,403 - 0,82,360,45,487
Matt Sterett,Railroad Commissioner,,LIB,Taylor,403 - 0,2,38,11,51
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,403 - 0,1,18,6,25
Dawn Buckingham,State Senate,24,REP,Taylor,403 - 0,71,780,106,957
Clayton Tucker,State Senate,24,DEM,Taylor,403 - 0,87,381,54,522
Stan Lambert,State Representative,71,REP,Taylor,403 - 0,83,831,110,1024
Samuel Hatton,State Representative,71,DEM,Taylor,403 - 0,76,334,50,460
Donald J Trump,President,,REP,Taylor,404 - 0,54,638,157,849
Joseph R Biden,President,,DEM,Taylor,404 - 0,67,411,52,530
Jo Jorgensen,President,,LIB,Taylor,404 - 0,0,21,7,28
Howie Hawkins,President,,GRN,Taylor,404 - 0,0,3,0,3
Abram Loeb (W),President,,,Taylor,404 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,404 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,404 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,404 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,404 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,404 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,404 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,404 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,404 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,404 - 0,57,635,145,837
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,404 - 0,63,381,48,492
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,404 - 0,2,27,12,41
David B. Collins,U.S. Senate,,GRN,Taylor,404 - 0,0,11,0,11
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,404 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,404 - 0,56,645,149,850
Tom Watson,U.S. House,19,DEM,Taylor,404 - 0,65,375,42,482
Joe Bumes,U.S. House,19,LIB,Taylor,404 - 0,0,30,13,43
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,404 - 0,61,633,147,841
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,404 - 0,57,369,43,469
Matt Sterett,Railroad Commissioner,,LIB,Taylor,404 - 0,1,35,12,48
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,404 - 0,0,12,3,15
Dawn Buckingham,State Senate,24,REP,Taylor,404 - 0,55,640,155,850
Clayton Tucker,State Senate,24,DEM,Taylor,404 - 0,63,398,51,512
Stan Lambert,State Representative,71,REP,Taylor,404 - 0,66,680,158,904
Samuel Hatton,State Representative,71,DEM,Taylor,404 - 0,55,365,46,466
Donald J Trump,President,,REP,Taylor,405 - 0,38,559,147,744
Joseph R Biden,President,,DEM,Taylor,405 - 0,60,234,60,354
Jo Jorgensen,President,,LIB,Taylor,405 - 0,2,12,3,17
Howie Hawkins,President,,GRN,Taylor,405 - 0,0,1,0,1
Abram Loeb (W),President,,,Taylor,405 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,405 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,405 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,405 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,405 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,405 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,405 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,405 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,405 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,405 - 0,44,558,146,748
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,405 - 0,52,214,58,324
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,405 - 0,2,20,5,27
David B. Collins,U.S. Senate,,GRN,Taylor,405 - 0,0,4,1,5
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,405 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,405 - 0,44,558,149,751
Tom Watson,U.S. House,19,DEM,Taylor,405 - 0,52,206,50,308
Joe Bumes,U.S. House,19,LIB,Taylor,405 - 0,2,28,10,40
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,405 - 0,41,551,147,739
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,405 - 0,50,209,48,307
Matt Sterett,Railroad Commissioner,,LIB,Taylor,405 - 0,3,26,6,35
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,405 - 0,2,4,6,12
Dawn Buckingham,State Senate,24,REP,Taylor,405 - 0,45,563,148,756
Clayton Tucker,State Senate,24,DEM,Taylor,405 - 0,48,224,54,326
Stan Lambert,State Representative,71,REP,Taylor,405 - 0,46,584,155,785
Samuel Hatton,State Representative,71,DEM,Taylor,405 - 0,48,206,47,301
Donald J Trump,President,,REP,Taylor,406 - 0,102,1207,163,1472
Joseph R Biden,President,,DEM,Taylor,406 - 0,102,469,68,639
Jo Jorgensen,President,,LIB,Taylor,406 - 0,3,19,6,28
Howie Hawkins,President,,GRN,Taylor,406 - 0,1,5,1,7
Abram Loeb (W),President,,,Taylor,406 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,406 - 0,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,406 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,406 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,406 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,406 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,406 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,406 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,406 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,406 - 0,110,1252,170,1532
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,406 - 0,82,401,54,537
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,406 - 0,3,23,6,32
David B. Collins,U.S. Senate,,GRN,Taylor,406 - 0,1,8,3,12
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,406 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,406 - 0,115,1268,167,1550
Tom Watson,U.S. House,19,DEM,Taylor,406 - 0,79,384,55,518
Joe Bumes,U.S. House,19,LIB,Taylor,406 - 0,4,30,8,42
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,406 - 0,103,1250,153,1506
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,406 - 0,77,374,57,508
Matt Sterett,Railroad Commissioner,,LIB,Taylor,406 - 0,5,30,10,45
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,406 - 0,0,7,6,13
Dawn Buckingham,State Senate,24,REP,Taylor,406 - 0,104,1246,160,1510
Clayton Tucker,State Senate,24,DEM,Taylor,406 - 0,79,411,63,553
Stan Lambert,State Representative,71,REP,Taylor,406 - 0,123,1347,176,1646
Samuel Hatton,State Representative,71,DEM,Taylor,406 - 0,65,314,50,429
Donald J Trump,President,,REP,Taylor,406 - L,12,96,12,120
Joseph R Biden,President,,DEM,Taylor,406 - L,6,16,1,23
Jo Jorgensen,President,,LIB,Taylor,406 - L,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,406 - L,0,0,0,0
Abram Loeb (W),President,,,Taylor,406 - L,0,0,0,0
Brian Carroll (W),President,,,Taylor,406 - L,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,406 - L,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,406 - L,0,0,0,0
Kasey Wells (W),President,,,Taylor,406 - L,0,0,0,0
President R. Boddie (W),President,,,Taylor,406 - L,0,0,0,0
Robert Marrow (W),President,,,Taylor,406 - L,0,0,0,0
Todd Cella (W),President,,,Taylor,406 - L,0,0,0,0
Tom Heofling (W),President,,,Taylor,406 - L,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,406 - L,15,101,12,128
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,406 - L,3,12,1,16
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,406 - L,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,406 - L,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,406 - L,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,406 - L,15,100,12,127
Tom Watson,U.S. House,19,DEM,Taylor,406 - L,4,12,1,17
Joe Bumes,U.S. House,19,LIB,Taylor,406 - L,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,406 - L,11,101,11,123
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,406 - L,4,11,0,15
Matt Sterett,Railroad Commissioner,,LIB,Taylor,406 - L,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,406 - L,0,1,1,2
Dawn Buckingham,State Senate,24,REP,Taylor,406 - L,11,98,12,121
Clayton Tucker,State Senate,24,DEM,Taylor,406 - L,6,14,1,21
Stan Lambert,State Representative,71,REP,Taylor,406 - L,14,103,12,129
Samuel Hatton,State Representative,71,DEM,Taylor,406 - L,4,9,1,14
Donald J Trump,President,,REP,Taylor,407 - 0,29,410,126,565
Joseph R Biden,President,,DEM,Taylor,407 - 0,26,150,27,203
Jo Jorgensen,President,,LIB,Taylor,407 - 0,1,5,4,10
Howie Hawkins,President,,GRN,Taylor,407 - 0,0,0,1,1
Abram Loeb (W),President,,,Taylor,407 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,407 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,407 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,407 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,407 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,407 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,407 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,407 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,407 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,407 - 0,27,418,133,578
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,407 - 0,26,133,18,177
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,407 - 0,0,11,4,15
David B. Collins,U.S. Senate,,GRN,Taylor,407 - 0,0,3,0,3
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,407 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,407 - 0,28,427,129,584
Tom Watson,U.S. House,19,DEM,Taylor,407 - 0,25,127,16,168
Joe Bumes,U.S. House,19,LIB,Taylor,407 - 0,0,9,11,20
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,407 - 0,24,421,126,571
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,407 - 0,23,125,19,167
Matt Sterett,Railroad Commissioner,,LIB,Taylor,407 - 0,1,9,7,17
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,407 - 0,0,1,0,1
Dawn Buckingham,State Senate,24,REP,Taylor,407 - 0,27,424,134,585
Clayton Tucker,State Senate,24,DEM,Taylor,407 - 0,22,131,20,173
Stan Lambert,State Representative,71,REP,Taylor,407 - 0,26,439,135,600
Samuel Hatton,State Representative,71,DEM,Taylor,407 - 0,22,116,17,155
Donald J Trump,President,,REP,Taylor,407 - A,4,27,1,32
Joseph R Biden,President,,DEM,Taylor,407 - A,0,4,0,4
Jo Jorgensen,President,,LIB,Taylor,407 - A,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,407 - A,0,0,0,0
Abram Loeb (W),President,,,Taylor,407 - A,0,0,0,0
Brian Carroll (W),President,,,Taylor,407 - A,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,407 - A,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,407 - A,0,0,0,0
Kasey Wells (W),President,,,Taylor,407 - A,0,0,0,0
President R. Boddie (W),President,,,Taylor,407 - A,0,0,0,0
Robert Marrow (W),President,,,Taylor,407 - A,0,0,0,0
Todd Cella (W),President,,,Taylor,407 - A,0,0,0,0
Tom Heofling (W),President,,,Taylor,407 - A,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,407 - A,4,27,1,32
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,407 - A,0,4,0,4
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,407 - A,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,407 - A,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,407 - A,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,407 - A,4,27,1,32
Tom Watson,U.S. House,19,DEM,Taylor,407 - A,0,4,0,4
Joe Bumes,U.S. House,19,LIB,Taylor,407 - A,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,407 - A,4,27,1,32
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,407 - A,0,4,0,4
Matt Sterett,Railroad Commissioner,,LIB,Taylor,407 - A,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,407 - A,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,407 - A,4,28,1,33
Clayton Tucker,State Senate,24,DEM,Taylor,407 - A,0,3,0,3
Stan Lambert,State Representative,71,REP,Taylor,407 - A,4,27,1,32
Samuel Hatton,State Representative,71,DEM,Taylor,407 - A,0,4,0,4
Donald J Trump,President,,REP,Taylor,407 - E,0,56,11,67
Joseph R Biden,President,,DEM,Taylor,407 - E,2,1,0,3
Jo Jorgensen,President,,LIB,Taylor,407 - E,0,0,1,1
Howie Hawkins,President,,GRN,Taylor,407 - E,0,0,0,0
Abram Loeb (W),President,,,Taylor,407 - E,0,0,0,0
Brian Carroll (W),President,,,Taylor,407 - E,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,407 - E,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,407 - E,0,0,0,0
Kasey Wells (W),President,,,Taylor,407 - E,0,0,0,0
President R. Boddie (W),President,,,Taylor,407 - E,0,0,0,0
Robert Marrow (W),President,,,Taylor,407 - E,0,0,0,0
Todd Cella (W),President,,,Taylor,407 - E,0,0,0,0
Tom Heofling (W),President,,,Taylor,407 - E,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,407 - E,0,54,12,66
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,407 - E,2,3,0,5
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,407 - E,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,407 - E,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,407 - E,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,407 - E,0,55,12,67
Tom Watson,U.S. House,19,DEM,Taylor,407 - E,2,1,0,3
Joe Bumes,U.S. House,19,LIB,Taylor,407 - E,0,1,0,1
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,407 - E,0,55,12,67
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,407 - E,2,1,0,3
Matt Sterett,Railroad Commissioner,,LIB,Taylor,407 - E,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,407 - E,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,407 - E,0,54,12,66
Clayton Tucker,State Senate,24,DEM,Taylor,407 - E,2,3,0,5
Stan Lambert,State Representative,71,REP,Taylor,407 - E,0,55,12,67
Samuel Hatton,State Representative,71,DEM,Taylor,407 - E,2,2,0,4
Donald J Trump,President,,REP,Taylor,408 - 0,162,2240,356,2758
Joseph R Biden,President,,DEM,Taylor,408 - 0,56,323,54,433
Jo Jorgensen,President,,LIB,Taylor,408 - 0,1,27,13,41
Howie Hawkins,President,,GRN,Taylor,408 - 0,0,2,1,3
Abram Loeb (W),President,,,Taylor,408 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,408 - 0,0,1,0,1
Gloria La Rivera (W),President,,,Taylor,408 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,408 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,408 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,408 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,408 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,408 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,408 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,408 - 0,168,2273,362,2803
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,408 - 0,47,273,43,363
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,408 - 0,2,28,11,41
David B. Collins,U.S. Senate,,GRN,Taylor,408 - 0,0,6,3,9
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,408 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,408 - 0,172,2276,366,2814
Tom Watson,U.S. House,19,DEM,Taylor,408 - 0,43,257,41,341
Joe Bumes,U.S. House,19,LIB,Taylor,408 - 0,2,30,13,45
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,408 - 0,163,2256,353,2772
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,408 - 0,41,233,40,314
Matt Sterett,Railroad Commissioner,,LIB,Taylor,408 - 0,3,40,18,61
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,408 - 0,1,18,4,23
Dawn Buckingham,State Senate,24,REP,Taylor,408 - 0,165,2270,363,2798
Clayton Tucker,State Senate,24,DEM,Taylor,408 - 0,43,274,49,366
Stan Lambert,State Representative,71,REP,Taylor,408 - 0,172,2302,363,2837
Samuel Hatton,State Representative,71,DEM,Taylor,408 - 0,37,245,51,333
Donald J Trump,President,,REP,Taylor,409 - 0,2,56,68,126
Joseph R Biden,President,,DEM,Taylor,409 - 0,6,5,11,22
Jo Jorgensen,President,,LIB,Taylor,409 - 0,0,0,1,1
Howie Hawkins,President,,GRN,Taylor,409 - 0,0,0,3,3
Abram Loeb (W),President,,,Taylor,409 - 0,0,0,0,0
Brian Carroll (W),President,,,Taylor,409 - 0,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,409 - 0,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,409 - 0,0,0,0,0
Kasey Wells (W),President,,,Taylor,409 - 0,0,0,0,0
President R. Boddie (W),President,,,Taylor,409 - 0,0,0,0,0
Robert Marrow (W),President,,,Taylor,409 - 0,0,0,0,0
Todd Cella (W),President,,,Taylor,409 - 0,0,0,0,0
Tom Heofling (W),President,,,Taylor,409 - 0,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,409 - 0,5,57,67,129
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,409 - 0,3,3,9,15
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,409 - 0,0,1,5,6
David B. Collins,U.S. Senate,,GRN,Taylor,409 - 0,0,0,1,1
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,409 - 0,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,409 - 0,5,54,70,129
Tom Watson,U.S. House,19,DEM,Taylor,409 - 0,3,3,8,14
Joe Bumes,U.S. House,19,LIB,Taylor,409 - 0,0,3,3,6
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,409 - 0,2,55,70,127
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,409 - 0,5,4,6,15
Matt Sterett,Railroad Commissioner,,LIB,Taylor,409 - 0,1,1,2,4
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,409 - 0,0,1,3,4
Dawn Buckingham,State Senate,24,REP,Taylor,409 - 0,3,55,70,128
Clayton Tucker,State Senate,24,DEM,Taylor,409 - 0,5,5,10,20
Stan Lambert,State Representative,71,REP,Taylor,409 - 0,5,54,71,130
Samuel Hatton,State Representative,71,DEM,Taylor,409 - 0,3,5,8,16
Donald J Trump,President,,REP,Taylor,409 -B,18,298,186,502
Joseph R Biden,President,,DEM,Taylor,409 -B,5,19,12,36
Jo Jorgensen,President,,LIB,Taylor,409 -B,1,1,4,6
Howie Hawkins,President,,GRN,Taylor,409 -B,1,0,0,1
Abram Loeb (W),President,,,Taylor,409 -B,0,0,0,0
Brian Carroll (W),President,,,Taylor,409 -B,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,409 -B,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,409 -B,0,0,0,0
Kasey Wells (W),President,,,Taylor,409 -B,0,0,0,0
President R. Boddie (W),President,,,Taylor,409 -B,0,0,0,0
Robert Marrow (W),President,,,Taylor,409 -B,0,0,0,0
Todd Cella (W),President,,,Taylor,409 -B,0,0,0,0
Tom Heofling (W),President,,,Taylor,409 -B,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,409 -B,19,296,183,498
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,409 -B,5,18,15,38
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,409 -B,0,2,4,6
David B. Collins,U.S. Senate,,GRN,Taylor,409 -B,1,1,0,2
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,409 -B,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,409 -B,19,298,189,506
Tom Watson,U.S. House,19,DEM,Taylor,409 -B,5,14,7,26
Joe Bumes,U.S. House,19,LIB,Taylor,409 -B,1,4,6,11
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,409 -B,19,296,187,502
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,409 -B,5,15,8,28
Matt Sterett,Railroad Commissioner,,LIB,Taylor,409 -B,0,5,5,10
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,409 -B,1,0,1,2
Dawn Buckingham,State Senate,24,REP,Taylor,409 -B,19,294,189,502
Clayton Tucker,State Senate,24,DEM,Taylor,409 -B,6,17,12,35
Stan Lambert,State Representative,71,REP,Taylor,409 -B,20,297,193,510
Samuel Hatton,State Representative,71,DEM,Taylor,409 -B,5,14,9,28
Donald J Trump,President,,REP,Taylor,409 - C,2,8,0,10
Joseph R Biden,President,,DEM,Taylor,409 - C,0,0,0,0
Jo Jorgensen,President,,LIB,Taylor,409 - C,0,0,0,0
Howie Hawkins,President,,GRN,Taylor,409 - C,0,0,0,0
Abram Loeb (W),President,,,Taylor,409 - C,0,0,0,0
Brian Carroll (W),President,,,Taylor,409 - C,0,0,0,0
Gloria La Rivera (W),President,,,Taylor,409 - C,0,0,0,0
Jesse Cuellar (W),President,,,Taylor,409 - C,0,0,0,0
Kasey Wells (W),President,,,Taylor,409 - C,0,0,0,0
President R. Boddie (W),President,,,Taylor,409 - C,0,0,0,0
Robert Marrow (W),President,,,Taylor,409 - C,0,0,0,0
Todd Cella (W),President,,,Taylor,409 - C,0,0,0,0
Tom Heofling (W),President,,,Taylor,409 - C,0,0,0,0
John Cornyn,U.S. Senate,,REP,Taylor,409 - C,2,8,0,10
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,Taylor,409 - C,0,0,0,0
Kerry Douglas McKennon,U.S. Senate,,LIB,Taylor,409 - C,0,0,0,0
David B. Collins,U.S. Senate,,GRN,Taylor,409 - C,0,0,0,0
Ricardo Turullois Bonilla (W),U.S. Senate,,,Taylor,409 - C,0,0,0,0
Jodey C Arrington,U.S. House,19,REP,Taylor,409 - C,2,8,0,10
Tom Watson,U.S. House,19,DEM,Taylor,409 - C,0,0,0,0
Joe Bumes,U.S. House,19,LIB,Taylor,409 - C,0,0,0,0
"James ""Jim"" Wright",Railroad Commissioner,,REP,Taylor,409 - C,2,8,0,10
Chrysta Castaneda,Railroad Commissioner,,DEM,Taylor,409 - C,0,0,0,0
Matt Sterett,Railroad Commissioner,,LIB,Taylor,409 - C,0,0,0,0
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,Taylor,409 - C,0,0,0,0
Dawn Buckingham,State Senate,24,REP,Taylor,409 - C,2,8,0,10
Clayton Tucker,State Senate,24,DEM,Taylor,409 - C,0,0,0,0
Stan Lambert,State Representative,71,REP,Taylor,409 - C,2,8,0,10
Samuel Hatton,State Representative,71,DEM,Taylor,409 - C,0,0,0,0
